Botanical Name,Physical Features,Species,Descriptions,Disease it helps to cure
Alpinia Galanga (Rasna),"Tall perennial herb with aromatic rhizomes, leaves lanceolate, flowers in dense spikes, fruit capsule",Alpinia galanga,"Alpinia galanga, also known as Rasna, is a herbaceous perennial plant that belongs to the ginger family. It is mainly grown in Southeast Asia and is known for its medicinal properties.","Respiratory infections, indigestion, arthritis, inflammation, pain, and fever"
Amaranthus Viridis (Arive-Dantu),"Annual herb with green leaves, long spikes of green flowers, small green seeds",Amaranthus viridis,"Amaranthus viridis, commonly known as Arive-Dantu, is an annual plant that is native to South America. It is now widely cultivated throughout the world as a food and medicinal plant.","Asthma, cough, diarrhea, dysentery, eye problems, fever, and inflammation"
Artocarpus Heterophyllus (Jackfruit),"Large evergreen tree with glossy leaves, oval or oblong fruits with rough skin, yellow or orange pulp",Artocarpus heterophyllus,"Artocarpus heterophyllus, commonly known as jackfruit, is a tropical tree that belongs to the mulberry family. It is native to Southeast Asia and is now cultivated in many parts of the world.","Skin diseases, indigestion, constipation, asthma, and diarrhea"
Avaram,"Shrub or small tree with compound leaves, yellow flowers in clusters, flat seed pods",Senna auriculata,"Avaram, also known as Senna auriculata, is a leguminous plant that is native to India. It is used in Ayurvedic medicine to treat various ailments.","Diabetes, liver disorders, urinary tract infections, skin diseases, and hypertension"
Azadirachta Indica (Neem),"Large evergreen tree with pinnate leaves, fragrant white flowers, small oval fruits with hard seed",Azadirachta indica,"Azadirachta indica, commonly known as neem, is a fast-growing tree that is native to India. It has been used in Ayurvedic medicine for thousands of years to treat a variety of ailments.","Skin diseases, malaria, fever, indigestion, respiratory disorders, and fungal infections"
Balloon vine,"Climbing herb with heart-shaped leaves, small greenish-white flowers, inflated bladder-like fruits",Cardiospermum halicacabum,"Balloon vine, also known as Cardiospermum halicacabum, is a climbing plant that is native to South America. It has been used in traditional medicine for centuries to treat various ailments.","Skin diseases, fever, joint pain, and respiratory infections"
Basella Alba (Basale),"Climbing vine with fleshy leaves, green or reddish stems, small greenish-white flowers",Basella alba,"Basella alba, also known as basale, is a vine-like plant that is native to tropical Asia. It is commonly grown as a leaf vegetable and is used in traditional medicine to treat various ailments.","Anemia, eye problems, constipation, hemorrhoids, and menstrual disorders"
Bellyache bush (Green),"Shrubby herb with green leaves, tubular flowers in clusters, inflated fruit capsules",Jatropha gossypiifolia,"Bellyache bush, also known as Jatropha gossypiifolia, is a shrub that is native to Central and South America. It has been used in traditional medicine to treat a variety of ailments.","Abdominal pain, constipation, cough, asthma, and skin diseases"
Benghal dayflower,"Herb with succulent stems, leaves ovate or heart-shaped, flowers blue or white with 2 large petals and 1 small petal",Commelina benghalensis L.,"Used in traditional medicine to treat various ailments including skin diseases, coughs, and fever","Skin diseases, coughs, fever"
Big Caltrops,"Prostrate herb with quadrangular stems, leaves opposite, flowers white or pale purple, fruit with spiny burrs",Tribulus terrestris L.,"Used in traditional medicine to treat urinary tract infections, kidney problems, and male sexual problems","Urinary tract infections, kidney problems"
Brassica Juncea (Indian Mustard),"Annual herb with pinnately lobed leaves, yellow flowers, elongated seed pods",Brassica juncea (L.) Czern.,"Used as a vegetable and spice in many cuisines, and also has medicinal properties, including aiding digestion and relieving respiratory problems","Digestive issues, respiratory problems"
Bristly Wild Grape,"Climbing vine with rough stems, leaves palmately lobed, small greenish flowers, dark purple fruits",Cissus quadrangularis L.,"Used in traditional medicine to treat bone fractures, joint pain, and digestive problems","Bone fractures, joint pain, digestive issues"
Butterfly Pea,"Climbing herb with compound leaves, flowers blue or purple with 5 petals, flattened seed pods",Clitoria ternatea L.,"Used in traditional medicine to improve memory, treat anxiety and depression, and reduce inflammation","Memory improvement, anxiety, depression"
Cape Gooseberry,"Herb with branched stems, leaves lobed or toothed, yellow flowers with purplish center, yellowish-orange fruits enclosed in papery husk",Physalis peruviana L.,"Used in traditional medicine to treat asthma, hepatitis, and fever, and is also rich in antioxidants","Asthma, hepatitis, fever, antioxidant"
Carissa Carandas (Karanda),"Thorny shrub with opposite leaves, fragrant white or pinkish flowers, fleshy red or purple fruits",Carissa carandas L.,"Used in traditional medicine to treat diarrhea, constipation, and sore throat, and is also used as a natural remedy for diabetes and hypertension","Diarrhea, constipation, sore throat"
Citrus Limon (Lemon),"Small evergreen tree with oval leaves, fragrant white flowers, yellow fruits with acidic pulp",Citrus limon (L.) Burm. f.,"Used as a food and flavoring agent, and also has medicinal properties, including aiding digestion and improving skin health","Digestion, skin health"
coatbuttons,"Herb with pinnate leaves, flowers small and greenish, fruit capsules with hooked spines",Tridax procumbens L.,"Used in traditional medicine to treat fever, diarrhea, and respiratory infections, and is also used as an anti-inflammatory and pain reliever","Fever, diarrhea, respiratory infections"
Common Wireweed,"Annual herb with slender stems, leaves narrow and linear, flowers small and inconspicuous, fruit capsules",Sida acuta Burm. f.,"Used in traditional medicine to treat respiratory infections, fever, and diarrhea, and is also used as an anti-inflammatory and pain reliever","Respiratory infections, fever, diarrhea"
Country Mallow,"Shrub with velvety leaves, pink or purple flowers, fruit capsules with hooked spines",Sida cordifolia L.,"Used in traditional medicine to treat asthma, coughs, and fever, and is also used as a natural remedy for menstrual disorders and sexual dysfunction","Asthma, coughs, fever, menstrual disorders"
Crown flower,"Perennial herb with milky sap, leaves lanceolate or oblong, flowers blue or purple with 5 petals, fruit capsules",Calotropis gigantea (L.) Dryand. ex W.T. Aiton,"Used in traditional medicine to treat various ailments including skin diseases, fever, and digestive disorders","Skin diseases, fever, digestive disorders"
Euphorbia hirta,"Herb with hairy stems, leaves opposite and serrated, flowers small and greenish, fruit capsules",Euphorbia hirta,"Euphorbia hirta is a small flowering plant that is native to India. It is known for its medicinal properties and is commonly used in Ayurvedic and traditional medicine to treat various ailments such as asthma, cough, and diarrhea. It is also used as an ornamental plant in gardens and landscapes.","Asthma, cough, diarrhea"
Ficus Auriculata (Roxburgh fig),"Large evergreen tree with leathery leaves, flowers hidden inside figs, figs enclosed in a pear-shaped receptacle",Ficus Auriculata,"Ficus Auriculata, also known as Roxburgh fig, is a large, evergreen tree that is native to India and Southeast Asia. It has medicinal properties and is used in Ayurvedic and traditional medicine to treat various ailments such as wounds, skin diseases, and respiratory disorders. It is also commonly grown as an ornamental tree in gardens and parks.","Wounds, skin diseases, respiratory disorders"
Ficus Religiosa (Peepal Tree),"Large deciduous tree with heart-shaped leaves, flowers hidden inside figs, figs enclosed in a pear-shaped receptacle",Ficus Religiosa,"Ficus Religiosa, also known as the peepal tree, is a large deciduous tree that is native to the Indian subcontinent. It has religious significance in Hinduism, Buddhism, and Jainism and is also used in Ayurvedic medicine to treat various ailments such as asthma, diabetes, and skin diseases.","Asthma, diabetes, skin diseases"
Green Chireta,"Herb with pinnately compound leaves, flowers small and greenish-white, fruit capsules with hooked spines",Andrographis paniculata,"Green Chireta, also known as Andrographis paniculata, is a medicinal herb that is native to India and Sri Lanka. It has a bitter taste and is commonly used in Ayurvedic and traditional medicine to treat various ailments such as colds, fever, and digestive disorders.","Colds, fever, digestive disorders"
heart-leaved moonseed,"Twining vine with heart-shaped leaves, greenish-yellow flowers, and red fruits",Tinospora cordifolia,"Heart-leaved moonseed, also known as Tinospora cordifolia, is a climbing shrub that is native to India and Southeast Asia. It has medicinal properties and is used in Ayurvedic and traditional medicine to treat various ailments such as diabetes, fever, and arthritis.","Diabetes, fever, arthritis"
Hibiscus Rosa-sinensis,"Shrub with large, showy flowers in various colors, serrated leaves, and woody stems",Hibiscus Rosa-sinensis,"Hibiscus Rosa-sinensis is a flowering shrub that is native to East Asia. It is commonly grown as an ornamental plant in gardens and parks and has medicinal properties. It is used in traditional medicine to treat various ailments such as high blood pressure, fever, and digestive disorders.","High blood pressure, fever, digestive disorders"
Holy Basil,"Aromatic herb with green or purple leaves, small flowers, and square stems",Ocimum sanctum,"Holy Basil, also known as Ocimum sanctum or tulsi, is a medicinal herb that is native to India. It has a long history of use in Ayurvedic medicine and is believed to have many health benefits, including reducing stress and anxiety, boosting the immune system, and improving respiratory function.","Stress, anxiety, immune system, respiratory function"
img.jpg,"Shrub with elliptical leaves, greenish-white flowers, and small, spiky fruits",Acalypha indica,"Indian CopperLeaf, also known as Acalypha indica, is a small shrub that is native to India. It is commonly grown as an ornamental plant in gardens and parks and has medicinal properties. It is used in traditional medicine to treat various ailments such as skin diseases, fever, and respiratory disorders.","Skin diseases, fever, respiratory disorders"
Indian CopperLeaf,"Small deciduous tree with thorny branches, ovate leaves, small flowers, and fleshy fruits",Ziziphus mauritiana,Indian Jujube is a tropical fruit tree that is used in traditional medicine to treat a range of ailments. Its fruit is rich in vitamins and minerals and is commonly eaten fresh or dried.,"Digestive problems, respiratory infections, constipation, insomnia, and skin conditions"
Indian Jujube,"Climbing shrub with lanceolate leaves, small flowers, and woody roots",Hemidesmus indicus,"Indian Sarsaparilla, also known as Anantamul or Nannari, is a climbing plant that is used in traditional Ayurvedic medicine. It is believed to have many health benefits and is used to treat a variety of ailments.","Skin diseases, respiratory infections, digestive problems, joint pain, urinary tract infections, and liver disorders"
Indian Sarsaparilla,"Herbaceous plant with serrated leaves, inconspicuous flowers, and spiky fruits",Urtica dioica,Indian Stinging Nettle is a perennial herb that is commonly used in traditional medicine to treat a range of ailments. Its leaves are also edible and are used in cooking as a nutritious green.,"Joint pain, allergies, respiratory infections, urinary tract infections, prostate problems, and skin conditions"
Indian Stinging Nettle,"Perennial herb with large, trumpet-shaped flowers, spiny fruits, and ovate leaves",Datura metel,"Indian Thornapple, also known as Datura, is a poisonous plant that is used in traditional medicine for its analgesic, antispasmodic, and sedative properties. It is also grown as an ornamental plant.","Asthma, cough, fever, muscle spasms, and pain"
Indian Thornapple,"Shrub with aromatic leaves, small flowers, and feathery fruits",Artemisia indica,Indian wormwood is a perennial herb that is used in traditional medicine to treat a variety of ailments. It is also grown as an ornamental plant.,"Digestive problems, fever, joint pain, malaria, and skin conditions"
Indian wormwood,"Climbing vine with heart-shaped leaves, small flowers, and elongated fruits",Coccinia grandis,"Ivy Gourd is a tropical vine that is grown for its edible fruit, which is rich in vitamins and minerals. It is also used in traditional medicine to treat a range of ailments.","Diabetes, digestive problems, fever, respiratory infections, and skin conditions"
Ivy Gourd,"Climbing vine with fragrant flowers, pinnately compound leaves, and woody stems",Jasminum spp.,"Jasminum, also known as Jasmine, is a fragrant flowering plant that is grown for its ornamental and medicinal properties. It is used in traditional medicine to treat a range of ailments.","Anxiety, insomnia, respiratory infections, and skin conditions"
Jasminum (Jasmine),"Aquatic herb with lanceolate leaves, small flowers, and spiky fruits",Hygrophila auriculata,"Kokilaksha, also known as Hygrophila, is a medicinal plant that is commonly used in Ayurvedic medicine to treat a variety of ailments.","Diabetes, digestive problems, joint pain, kidney stones, and urinary tract infections"
Kokilaksha,"Prostrate herb with lobed leaves, small flowers, and spiny fruits",Tribulus terrestris,"Land Caltrops, also known as Bindii, is a spiny herbaceous annual plant with yellow flowers that produces small fruits with spines. It has been used in traditional medicine to treat a variety of ailments, including urinary tract infections, eczema, and hypertension.","Urinary tract infections, eczema, hypertension"
Land Caltrops (Bindii),"Perennial herb with opposite leaves, single or double flowers in various colors, and paired fruits",Catharanthus roseus,"Madagascar Periwinkle, also known as Vinca, is a small evergreen subshrub with glossy leaves and pink or white flowers. It has been used in traditional medicine to treat a variety of ailments, including diabetes, malaria, and leukemia.","Diabetes, malaria, leukemia"
Madagascar Periwinkle,"Annual climbing vine with large leaves, yellow flowers, and round or oblong fruits",Coccinia grandis,"Madras Pea Pumpkin, also known as Ivy Gourd, is a climbing herbaceous plant with yellow-orange pumpkin-shaped fruits. It has been used in traditional medicine to treat a variety of ailments, including diabetes, fever, and asthma.","Diabetes, fever, asthma"
Madras Pea Pumpkin,"Aromatic herb with succulent leaves, small flowers, and square stems",Plectranthus amboinicus,"Malabar Catmint, also known as Mexican Mint, is a perennial herbaceous plant with succulent leaves and small purple flowers. It has been used in traditional medicine to treat a variety of ailments, including colds, coughs, and indigestion.","Colds, coughs, indigestion"
Malabar Catmint,"Large evergreen tree with leathery leaves, fragrant flowers, and fleshy, drupe-like fruits",Mangifera indica,"Mango is a fruit-bearing tree with large, sweet fruits. It has been used in traditional medicine to treat a variety of ailments, including diarrhea, fever, and constipation.","Diarrhea, fever, constipation"
Mangifera Indica (Mango),"Aromatic herb with opposite leaves, small flowers, and square stems",Mentha spp.,"Mint is a perennial herbaceous plant with aromatic leaves and small white or pink flowers. It has been used in traditional medicine to treat a variety of ailments, including indigestion, nausea, and headaches.","Indigestion, nausea, headaches"
Mentha (Mint),"Aromatic herb with succulent leaves, small flowers, and square stems",Plectranthus amboinicus,"Mexican Mint, also known as Malabar Catmint, is a perennial herbaceous plant with succulent leaves and small purple flowers. It has been used in traditional medicine to treat a variety of ailments, including colds, coughs, and indigestion.","Colds, coughs, indigestion"
Mexican Mint,"Prickly herb with lobed leaves, yellow flowers, and spiny fruits",Argemone mexicana,"Mexican Prickly Poppy is an herbaceous annual plant with yellow or white flowers and prickly seed pods. It has been used in traditional medicine to treat a variety of ailments, including pain, fever, and skin conditions.","Pain, fever, skin conditions"
Mexican Prickly Poppy,"Fast-growing tree with pinnately compound leaves, fragrant flowers, and long, slender fruits",Moringa Oleifera,"Moringa oleifera is a fast-growing, drought-resistant tree with edible leaves and seed pods that are used as food sources in many cultures.","Anemia, arthritis, asthma, cancer, constipation, diabetes, diarrhea, epilepsy, stomach pain, ulcers"
Mountain Knotgrass,"Perennial herb with lanceolate leaves, small flowers, and spiky fruits",Polygonum viviparum,Mountain knotgrass is a medicinal herb that has been used for centuries to treat various health issues. It is a low-growing perennial plant that thrives in mountainous regions.,"Inflammation, diabetes, liver diseases, gastrointestinal disorders"
Muntingia Calabura (Jamaica Cherry-Gasagase),"Small tree with glossy leaves, smooth bark, and cherry-like fruits",Muntingia calabura,"Muntingia calabura is a fast-growing tree that produces small, sweet-tasting fruits. It is native to the tropical regions of the Americas and is commonly found in gardens and parks.","Coughs, colds, fevers, headaches, diarrhea, dysentery, wounds"
Murraya Koenigii (Curry),"Small to medium-sized tree with compound leaves and small, fragrant white flowers",Murraya koenigii,"Murraya koenigii is a small, bushy tree that is native to India and is commonly cultivated for its aromatic leaves, which are used in cooking.","Anemia, diabetes, diarrhea, dysentery, indigestion, liver diseases"
Nalta Jute,"Herbaceous plant with long, slender stems, simple leaves, and small yellow flowers",Corchorus olitorius,Nalta jute is a leafy vegetable that is commonly used in traditional medicine. It is a rich source of vitamins and minerals and is often used as a treatment for various health issues.,"Constipation, fever, dysentery, gastrointestinal disorders, liver diseases"
Nerium Oleander (Oleander),"Shrub or small tree with lance-shaped leaves, showy flowers in various colors, and toxic sap",Nerium oleander,"Nerium oleander is an ornamental shrub that is prized for its beautiful flowers. However, it is also highly toxic, with all parts of the plant containing powerful cardiac glycosides.",None (the plant is highly toxic and can be deadly if ingested)
Night blooming Cereus,"Cactus-like plant with long, segmented stems and large, fragrant flowers that bloom at night",Selenicereus grandiflorus,"Night blooming cereus is a cactus that is known for its large, fragrant flowers that bloom at night. It is native to the tropical regions of the Americas and is commonly grown as an ornamental plant.","Insomnia, anxiety, headache, digestive disorders"
Nyctanthes Arbor-tristis (Parijata),"Small tree with opposite leaves, fragrant white flowers, and orange-yellow fruit",Nyctanthes arbor-tristis,"Nyctanthes arbor-tristis is a small tree that is prized for its fragrant, star-shaped flowers. It is native to Southeast Asia and is commonly grown as an ornamental plant.","Fever, arthritis, respiratory disorders, constipation, menstrual disorders"
Ocimum Tenuiflorum (Tulsi),"Aromatic herb with green or purple leaves, small flowers, and square stems",Ocimum tenuiflorum,"Also known as Holy Basil, it is a sacred plant in Hindu culture and widely used in Ayurvedic medicine","Common cold, fever, bronchitis, cough, digestive disorders, stress, anxiety, and insect bites."
Panicled Foldwing,"Herbaceous plant with compound leaves, clusters of small white flowers, and papery fruits",Dicliptera bupleuroides,"Found in tropical regions of Africa, Asia, and the Americas","Inflammation, wounds, fever, and headache."
Phyllanthus reticulatus Poir,"Shrub with simple leaves, small green flowers, and tiny, round fruit",Phyllanthus reticulatus,"Found in India, Sri Lanka, and Southeast Asia","Jaundice, diabetes, urinary tract infections, and skin diseases."
Piper Betle (Betel),"Climbing vine with heart-shaped leaves, small flowers, and peppery-tasting leaves",Piper betle,Cultivated in Southeast Asia and the Indian subcontinent,"Bad breath, oral hygiene, digestion, and respiratory disorders."
Plectranthus Amboinicus (Mexican Mint),"Succulent herb with fleshy, aromatic leaves and spikes of small flowers",Plectranthus amboinicus,"Native to Southern and Eastern Africa, Madagascar, and the Arabian Peninsula","Respiratory disorders, stomachache, nausea, vomiting, and skin disorders."
Pongamia Pinnata (Indian Beech),"Medium-sized tree with compound leaves, fragrant flowers, and brown pods",Pongamia pinnata,"Native to India, Southeast Asia, and Australia","Skin diseases, wounds, inflammation, and digestive disorders."
Prickly Chaff Flower,"Herbaceous plant with prickly stems, opposite leaves, and small white or pink flowers",Achyranthes aspera,"Found in tropical and subtropical regions of Asia, Africa, and the Americas","Fever, inflammation, digestive disorders, and respiratory disorders."
Psidium Guajava (Guava),"Small tree with oval leaves, fragrant flowers, and edible fruits with green or yellow skin",Psidium guajava,"Native to Central America, Mexico, and northern South America","Diarrhea, dysentery, constipation, cough, and skin disorders."
Punarnava,"Herbaceous plant with long, fleshy stems, simple leaves, and small pink or white flowers",Boerhavia diffusa,"Found in tropical regions of Africa, Asia, and the Americas","Edema, urinary tract infections, liver disorders, and respiratory disorders."
Punica Granatum (Pomegranate),"Small tree with glossy leaves, showy red or orange flowers, and large, round fruits",Punica granatum,Native to Iran and the Himalayas in northern India,"Anemia, diabetes, diarrhea, dysentery, and heart disorders."
Purple Fruited Pea Eggplant,"Small shrub with purple stems, pinnately compound leaves, and small purple fruits",Solanum trilobatum,Found in Southeast Asia and the Indian subcontinent,"Respiratory disorders, fever, and digestive disorders."
Purple Tephrosia,"Herbaceous plant with pinnately compound leaves, spikes of purple flowers, and legume-like fruits",Tephrosia purpurea,"Found in India, Southeast Asia, and Africa","Snake bites, wounds, fever, and respiratory disorders."
Rosary Pea,"Climbing vine with compound leaves, clusters of red and black seeds, and pea-like flowers",Abrus precatorius,Found in tropical and subtropical regions worldwide,"Snake bites, fever, and skin disorders."
Santalum Album (Sandalwood),"Small tree with fragrant heartwood, opposite leaves, and small flowers",Santalum album,"Sandalwood is a parasitic tree that obtains nutrients from several other plant species. The fragrant wood is used for carving, incense, and perfume.","Bronchitis, urinary tract infections, digestive tract problems, skin conditions, anxiety, and insomnia."
Shaggy button weed,"Herbaceous plant with opposite leaves, small pink or white flowers, and hairy stems",Diodia teres,"Shaggy button weed is a low-growing annual plant with hairy leaves and small white flowers. It is found in fields, pastures, and disturbed areas.","Snakebites, fever, respiratory disorders, and digestive tract problems."
Small Water Clover,"Aquatic plant with floating leaves, white or pink flowers, and triangular fruits",Marsilea minuta,Small water clover is a floating aquatic plant with clover-like leaves. It is found in still or slow-moving water bodies such as ponds and swamps.,"Digestive disorders, kidney stones, fever, and menstrual disorders."
Spiderwisp,"Climbing vine with compound leaves, small flowers, and spiderweb-like inflorescences",Cleome gynandra,Spiderwisp is a slender vine that climbs on nearby vegetation using tendrils. It has small pink or white flowers and is found in open fields and disturbed areas.,"Jaundice, constipation, and skin diseases."
Square Stalked Vine,"Climbing vine with square stems, heart-shaped leaves, and small purple or white flowers",Uraria picta,Square stalked vine is a climbing vine with square stems and compound leaves. It has small white or purple flowers and is found in open forests and disturbed areas.,"Respiratory tract infections, fever, and urinary tract infections."
Stinking Passionflower,"Vine with palmate leaves, showy flowers with a strong odor, and fleshy fruits",Passiflora foetida,"Stinking passionflower is a climbing vine with large, showy flowers and edible fruit. It is found in open fields and disturbed areas.","Headache, asthma, and skin diseases."
Sweet Basil,"Aromatic herb with oval leaves, spikes of small flowers, and square stems",Ocimum basilicum,Sweet basil is an annual herb with fragrant leaves that are used for cooking. It is commonly grown in gardens and is found in open fields and disturbed areas.,"Cough, cold, digestive tract problems, and skin diseases."
Sweet flag,"Marsh plant with sword-like leaves, showy flowers, and rhizomatous stems",Acorus calamus,"Sweet flag is a perennial herb with long, narrow leaves that grow in wet areas such as swamps and marshes. The roots are used in herbal medicine.","Digestive disorders, fever, and respiratory tract infections."
Syzygium Cumini (Jamun),"Medium-sized tree with glossy leaves, fragrant flowers, and purple or white fruit",Syzygium cumini,Jamun is an evergreen tropical tree that produces a fruit with a sweet and tangy flavor. It is commonly grown in gardens and is found in open fields and disturbed areas.,"Diabetes, diarrhea, and skin diseases."
Syzygium Jambos (Rose Apple),"Small to medium-sized tree with elliptical leaves, fragrant flowers, and green or yellow fruit resembling an apple",Syzygium jambos,Rose apple is an evergreen tree that produces a fruit with a sweet and fragrant flavor. It is commonly grown in gardens and is found in open fields and disturbed areas.,"Cough, fever, and digestive tract problems."
Tabernaemontana Divaricata (Crape Jasmine),"Shrub with opposite leaves, fragrant white or yellow flowers, and slender fruit",Tabernaemontana divaricata,Crape jasmine is a shrub with showy white flowers. It is commonly grown in gardens and is found in open forests and disturbed areas.,"Fever, skin diseases, and cough."
Tinnevelly Senna,"Herbaceous plant with compound leaves, yellow flowers, and slender pods",Cassia Angustifolia,"Tinnevelly Senna is a perennial plant that belongs to the legume family. The leaves of the plant are harvested for their medicinal properties, particularly as a natural laxative.","Constipation, Irritable bowel syndrome, Hemorrhoids, Anal fissures, Weight loss."
Trellis Vine,"Climbing vine with compound leaves, clusters of small flowers, and tendrils for climbing",Cissus Quadrangularis,"Trellis Vine, also known as Veldt Grape, is a deciduous climbing vine that is commonly grown as an ornamental plant. The plant is also used for medicinal purposes in traditional medicine.","Asthma, Bone fractures, Joint pain, Obesity, Menstrual disorders."
Trigonella Foenum-graecum (Fenugreek),"Herbaceous plant with trifoliate leaves, small white flowers, and triangular fruits",Trigonella Foenum-graecum,"Fenugreek is an annual plant that is commonly grown as a culinary herb. The seeds of the plant are used as a spice in many dishes, and the leaves are sometimes used as a vegetable. The plant is also used for its medicinal properties.","Diabetes, Digestive problems, Menstrual cramps, Obesity, Skin inflammation."
Velvet bean,"Climbing vine with large, hairy leaves, showy flowers, and velvety pods containing seeds",Mucuna Pruriens,"Velvet Bean, also known as Cowhage, is a tropical legume that is commonly used in traditional medicine. The plant contains a compound called L-dopa, which is used to treat Parkinson's disease.","Parkinson's disease, Infertility, Depression, Anxiety, Male virility."
